Event.Date,Location,Country,Aircraft.Category,Make,Model,Injury.Severity,Aircraft.damage,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,severe_injuries,total_injuries,estimated_passengers,fatal_injury_rate,serious_injury_rate
2019-12-05,"Los Angeles, CA",United States,Helicopter,AIRBUS,AS 350 B2,Non-Fatal,Minor,1.0,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-05,"Camas, WA",United States,Airplane,Cessna,182,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-05,"Pima, AZ",United States,Airplane,Vans,RV 6,Non-Fatal,Substantial,1.0,Unknown,0.0,2.0,0.0,2.0,2.0,3.0,0.0,0.6666666666666666
2019-12-05,"Eschowe, South Africa",South Africa,Helicopter,ROBINSON,R44,Fatal,Substantial,1.0,Unknown,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0
2019-12-06,"Spring Branch, TX",United States,Airplane,Beech,36,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-06,"Pau Pyrenesse, France",France,Airplane,DE HAVILLAND,DHC6,Non-Fatal,Minor,1.0,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-06,"Paris, France",France,Airplane,BOEING,737,Unknown,Unknown,1.0,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-07,"Gulf of Mexico, GM",United States,Helicopter,Bell,407,Fatal,Destroyed,1.0,Turbo Shaft,2.0,0.0,0.0,2.0,2.0,3.0,0.6666666666666666,0.0
2019-12-07,"Williamtown Aerodrome, Australia",Australia,Helicopter,OAS,UH-1H,Non-Fatal,Substantial,1.0,Unknown,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5
2019-12-08,"Willow Springs, MO",United States,Airplane,Zenith,ZODIAC CH-650,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5
2019-12-08,"Flower Pot, AZ",United States,Airplane,Mooney,M20C,Fatal,Destroyed,1.0,Reciprocating,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0
2019-12-08,"Kaunas, Lithuania",Lithuania,Airplane,PIPER,PA30,Fatal,Substantial,1.0,Unknown,2.0,0.0,0.0,2.0,2.0,3.0,0.6666666666666666,0.0
2019-12-09,"Keene, NH",United States,Airplane,De Havilland,DHC8,Non-Fatal,Minor,2.0,Turbo Prop,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-10,"Victoria, TX",United States,Airplane,Cessna,208,Fatal,Destroyed,1.0,Turbo Prop,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0
2019-12-10,"Louisville, KY",United States,Airplane,PIPER,PA28,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-10,"Kwigillingok, AK",United States,Airplane,Cessna,207,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-11,"Riverton, UT",United States,Helicopter,ENSTROM,F28,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5
2019-12-11,"Phoenix, AZ",United States,Airplane,Piper,PA-34-200T,Non-Fatal,Substantial,2.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-11,"Nanaimo, Canada",Canada,Airplane,Piper,PA60,Fatal,Destroyed,1.0,Unknown,3.0,0.0,0.0,3.0,3.0,4.0,0.75,0.0
2019-12-11,"Auckland, New Zealand",New Zealand,Airplane,BOEING,747,Unknown,Minor,1.0,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-12,"Kitzbuhel, OF",Austria,Helicopter,AEROSPATIALE,AS350,Non-Fatal,Unknown,1.0,Unknown,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-13,"Carlsbad, CA",United States,Airplane,Cessna,182,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-13,"Region del Bio Bio, Chile",Chile,Airplane,CESSNA,150,Fatal,Destroyed,1.0,Unknown,1.0,0.0,0.0,1.0,1.0,2.0,0.5,0.0
2019-12-14,"San Antonio, TX",United States,Helicopter,Robinson,R44,Non-Fatal,Substantial,1.0,Reciprocating,0.0,3.0,0.0,3.0,3.0,4.0,0.0,0.75
2019-12-14,"Mareeba, Australia",Australia,Airplane,Angel Aircraft Corporation,44,Fatal,Destroyed,1.0,Reciprocating,2.0,0.0,0.0,2.0,2.0,3.0,0.6666666666666666,0.0
2019-12-15,"New Market, VA",United States,Airplane,Piper,PA18,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-15,"Philadelphia, PA",United States,Airplane,Embraer,EMB145,Non-Fatal,Unknown,2.0,Unknown,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
2019-12-15,"Tokyo, Japan",Japan,Airplane,Cessna,172,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-16,"Nampa, ID",United States,Airplane,JOHN Sample,BEARHAWK,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2019-12-16,"Lancaster, CA",United States,Airplane,Cessna,140,Non-Fatal,Substantial,1.0,Reciprocating,0.0,2.0,0.0,2.0,2.0,3.0,0.0,0.6666666666666666
