Event.Date,Location,Country,Aircraft.Category,Make,Model,Injury.Severity,Aircraft.damage,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,severe_injuries,total_injuries,estimated_passengers,fatal_injury_rate,serious_injury_rate,is_destroyed,aircraft_type
1982-06-26,"SAN JOSE, CA",United States,Airplane,CESSNA,172M,Fatal(3),Destroyed,1.0,Reciprocating,3.0,0.0,0.0,3.0,3.0,4.0,0.75,0.0,1,CESSNA_172M
1982-06-26,"SAN JOSE, CA",United States,Airplane,CESSNA,320B,Fatal(3),Destroyed,2.0,Reciprocating,3.0,0.0,0.0,3.0,3.0,4.0,0.75,0.0,1,CESSNA_320B
1982-06-26,"OTHELLO, WA",United States,Airplane,CESSNA,A188B,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,CESSNA_A188B
1982-06-26,"LINCOLN PARK, NJ",United States,Airplane,GRUMMAN,AA-5A,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,GRUMMAN_AA-5A
1982-06-26,"PRESQUE ISLE, ME",United States,Airplane,PIPER,PA-28-180,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0,PIPER_PA-28-180
1982-06-26,"SCOTT CITY, KS",United States,Airplane,CESSNA,188B,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.5,0,CESSNA_188B
1982-06-26,"KAHOKA, MO",United States,Airplane,CESSNA,172H,Non-Fatal,Substantial,1.0,Reciprocating,0.0,2.0,0.0,2.0,2.0,3.0,0.0,0.6666666666666666,0,CESSNA_172H
1982-06-26,"FELLSMERE, FL",United States,Airplane,PIPER,PA-38-112,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0,PIPER_PA-38-112
1982-06-26,"POINT LOBOS, CA",United States,Airplane,CESSNA,150,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0,CESSNA_150
1982-06-26,"BELLE CHASSE, LA",United States,Airplane,PIPER,PA-32-260,Fatal(1),Substantial,1.0,Reciprocating,1.0,2.0,0.0,3.0,3.0,4.0,0.25,0.5,0,PIPER_PA-32-260
1982-06-26,"BELEN, NM",United States,Airplane,BEECH,D18S,Non-Fatal,Substantial,2.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,BEECH_D18S
1982-06-26,"HIXSON, TN",United States,Airplane,PIPER,PA-22-150,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0,PIPER_PA-22-150
1982-06-26,"NEAR ANCHORAGE, AK",United States,Airplane,CESSNA,170B,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,CESSNA_170B
1982-06-26,"JACUMBA, CA",United States,Airplane,BELLANCA,8GCBC,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,BELLANCA_8GCBC
1982-06-26,"35 SE MOAB, UT",United States,Helicopter,AEROSPATIALE,SA 315 B,Non-Fatal,Substantial,1.0,Turbo Shaft,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0,AEROSPATIALE_SA 315 B
1982-06-27,"LARCHMONT, NY",United States,Airplane,CESSNA,177,Fatal(3),Destroyed,1.0,Reciprocating,3.0,0.0,0.0,3.0,3.0,4.0,0.75,0.0,1,CESSNA_177
1982-06-27,"NEAR QGALLALA, NE",United States,Airplane,CESSNA,177,Non-Fatal,Destroyed,1.0,Reciprocating,0.0,4.0,0.0,4.0,4.0,5.0,0.0,0.8,1,CESSNA_177
1982-06-27,"HOLLYWOOD, FL",United States,Airplane,CESSNA,150,Non-Fatal,Destroyed,1.0,Reciprocating,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1,CESSNA_150
1982-06-27,"LUFKIN, TX",United States,Airplane,BOEING,B-75,Non-Fatal,Minor,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,BOEING_B-75
1982-06-27,"TWIN FALLS, ID",United States,Airplane,MOONEY,M20A,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0,MOONEY_M20A
1982-06-27,"SHAPLEIGH, ME",United States,Airplane,CESSNA,150L,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0,CESSNA_150L
1982-06-27,"WEST PALM BEACH, FL",United States,Airplane,PIPER,PA-38-112,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,PIPER_PA-38-112
1982-06-27,"PIMA, AZ",United States,Airplane,CESSNA,150G,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,CESSNA_150G
1982-06-27,"LUFKIN, TX",United States,Airplane,CESSNA,172N,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,CESSNA_172N
1982-06-27,"KENNEDALE, TX",United States,Airplane,CESSNA,172XP,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,CESSNA_172XP
1982-06-27,"BLOOMINGTON, IL",United States,Airplane,BOEING,E75,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,BOEING_E75
1982-06-28,"PENSACOLA, FL",United States,Airplane,CESSNA,210N,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,CESSNA_210N
1982-06-28,"PARIS, TX",United States,Airplane,MOONEY,M20E,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0,MOONEY_M20E
1982-06-28,"GRAHAM, TX",United States,Airplane,BEECH,35,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,BEECH_35
