Event.Date,Location,Country,Aircraft.Category,Make,Model,Injury.Severity,Aircraft.damage,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries
2011-08-25 00:00:00,"Heath, OH",United States,Airplane,NICHOLS,LANCAIR 235,Fatal,Destroyed,1.0,Reciprocating,1.0,0.0,0.0
2011-08-25 00:00:00,"Beluga Lake, AK",United States,Airplane,PIPER,PA-18-150,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-08-25 00:00:00,"Monmouth, IL",United States,Airplane,CESSNA,140,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-08-25 00:00:00,"Mile Hi Landing Strip, ID",United States,Airplane,Tubbs S/Performance,PA-18 225DD,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-08-25 00:00:00,"Cahokia, IL",United States,Airplane,CESSNA,T210M,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-08-26 00:00:00,"Carlton, NY",United States,Airplane,WOOLSTON GLENN E,ZENITH 701 STOL,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0
2011-08-26 00:00:00,"Mosby, MO",United States,Helicopter,EUROCOPTER,AS-350-B2,Fatal,Substantial,1.0,Turbo Shaft,4.0,0.0,0.0
2011-08-26 00:00:00,"Freeport, IL",United States,Airplane,WSK PZL MIELEC,M-18 DROMADER,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,1.0
2011-08-26 00:00:00,"Kremmling, CO",United States,Airplane,CESSNA,T210M,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-08-26 00:00:00,"Batesville, TX",United States,Helicopter,ROBINSON HELICOPTER,R44,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-08-26 00:00:00,"Gaithersburg, MD",United States,Airplane,PIPER,PA-44-180,Non-Fatal,Substantial,2.0,Reciprocating,0.0,0.0,0.0
2011-08-26 00:00:00,"Saguache, CO",United States,Airplane,PIPER,PA-30,Non-Fatal,Substantial,2.0,Reciprocating,0.0,0.0,0.0
2011-08-27 00:00:00,"Titusville, FL",United States,Helicopter,SCHWEIZER,269C-1,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0
2011-08-27 00:00:00,"Kent, WA",United States,Airplane,CESSNA,140,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-08-27 00:00:00,"Grand Marais, MN",United States,Airplane,CESSNA,182C,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-08-28 00:00:00,"Grangeville, ID",United States,Airplane,CESSNA,170A,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,1.0
2011-08-28 00:00:00,"Napa, CA",United States,Airplane,BEECH,A36,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-08-28 00:00:00,"Albany, OR",United States,Airplane,WHEELER,VANS RV-6A,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-08-28 00:00:00,"St. Ferdinand, Canada",Canada,Helicopter,ROBINSON,R44,Fatal,Substantial,1.0,Unknown,4.0,0.0,0.0
2011-08-28 00:00:00,"Stockstaff am Main, Germany",Germany,Airplane,CESSNA,150,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,1.0
2011-08-28 00:00:00,"Mugeln, Germany",Germany,Airplane,CESSNA,F172,Fatal,Substantial,1.0,Unknown,1.0,0.0,0.0
2011-08-28 00:00:00,"Zell am See, Austria",Austria,Airplane,CESSNA,F150,Fatal,Substantial,1.0,Unknown,4.0,0.0,0.0
2011-08-28 00:00:00,"Berryville, TX",United States,Airplane,TAYLORCRAFT,BC12-D,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0
2011-08-28 00:00:00,"South Malekula, Vanuatu, Malampa",Malampa,Helicopter,HUGHES,369D,Fatal,Substantial,1.0,Turbo Shaft,1.0,2.0,0.0
2011-08-29 00:00:00,"Windom, MN",United States,Airplane,"Van's Aircraft, Inc.",RV-12,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0
2011-08-29 00:00:00,"Atlanta, ID",United States,Airplane,CESSNA,172F,Non-Fatal,Substantial,1.0,Reciprocating,0.0,2.0,0.0
2011-08-29 00:00:00,"Abram Lake, Canada",Canada,Airplane,CESSNA,TU206G,Fatal,Substantial,1.0,Reciprocating,1.0,0.0,0.0
2011-08-29 00:00:00,"Plymouth, MI",United States,Airplane,CESSNA,172M,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-08-29 00:00:00,"Hailey, ID",United States,Airplane,MAULE,M-6-235,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-08-29 00:00:00,"Santa Monica, CA",United States,Airplane,CESSNA,172M,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,1.0
2011-08-29 00:00:00,"Moline, IL",United States,Airplane,EMBRAER,EMB145,Non-Fatal,Minor,2.0,Turbo Fan,0.0,0.0,0.0
2011-08-29 00:00:00,"Monette, AR",United States,Airplane,GRUMMAN ACFT ENG COR-SCHWEIZER,G-164A,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-08-29 00:00:00,"Menominee, MI",United States,Helicopter,ENSTROM,F-28F,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-08-30 00:00:00,"Cape Yakataga, AK",United States,Airplane,PIPER,PA-18-150,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-08-30 00:00:00,"Allen, OK",United States,Airplane,MOONEY,M20C,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0
2011-08-30 00:00:00,"Dorris, CA",United States,Airplane,CHRISTEN INDUSTRIES INC,A-1,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0
2011-08-30 00:00:00,"Unalaska, AK",United States,Helicopter,ROBINSON HELICOPTER,R22 BETA,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-08-30 00:00:00,"Sao Sebastiao, Brazil",Brazil,Helicopter,ROBINSON,R44,Fatal,Substantial,1.0,Unknown,3.0,0.0,0.0
2011-08-31 00:00:00,"Bremerton, WA",United States,Airplane,CESSNA,TU206F,Non-Fatal,Substantial,1.0,Reciprocating,0.0,1.0,0.0
2011-08-31 00:00:00,"East Liverpool, OH",United States,Airplane,PIPER,L-21B,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-08-31 00:00:00,"Plymouth, MA",United States,Airplane,CESSNA,172N,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
2011-08-31 00:00:00,"Sugar Creek, OH",United States,Airplane,CESSNA,175,Non-Fatal,Substantial,1.0,Reciprocating,0.0,0.0,0.0
